Voltage(V)	I_in(nA)	I_out(nA)
-1.00	-4.104103	-4.132378
-0.90	-3.619693	-3.642098
-0.80	-3.152375	-3.169664
-0.70	-2.702642	-2.715542
-0.60	-2.270906	-2.280116
-0.50	-1.856990	-1.863173
-0.40	-1.461716	-1.465499
-0.30	-1.081873	-1.083849
-0.20	-0.723637	-0.724372
-0.10	-0.389808	-0.389761
+0.00	-0.000000	0.000000
+0.10	0.389808	0.389761
+0.20	0.879606	0.878565
+0.30	1.439510	1.436621
+0.40	2.025639	2.020082
+0.50	2.630835	2.621859
+0.60	3.233677	3.220641
+0.70	3.824872	3.807262
+0.80	4.395423	4.372862
+0.90	4.941835	4.914060
+1.00	5.465200	5.432013
